date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.089766606822
2021-01-26,California,State,Total,574.0,100.0,159.14285714285,100.0
2021-01-26,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Alpha,9.0,1.57,11.42857142857,7.181328545781
2021-01-26,California,State,Delta,1.0,0.17,0.42857142857,0.269299820467
2021-01-26,California,State,Epsilon,347.0,60.45,95.14285714285,59.784560143627
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Total,702.0,100.0,223.71428571428,100.0
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Delta,1.0,0.14,0.57142857142,0.255427841635
2021-01-27,California,State,Other,230.0,32.76,73.71428571428,32.950191570881
2021-01-27,California,State,Alpha,12.0,1.71,11.0,4.916985951469
2021-01-27,California,State,Epsilon,459.0,65.38,138.42857142857,61.877394636015
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-28,California,State,Beta,2.0,0.23,0.28571428571,0.085287846482
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Total,867.0,100.0,335.0,100.0
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Alpha,26.0,3.0,10.85714285714,3.240938166311
2021-01-28,California,State,Delta,1.0,0.12,0.57142857142,0.170575692964
2021-01-28,California,State,Epsilon,530.0,61.13,208.0,62.089552238806
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-28,California,State,Other,305.0,35.18,114.85714285714,34.285714285714
2021-01-28,California,State,Gamma,3.0,0.35,0.42857142857,0.127931769723
2021-01-29,California,State,Epsilon,145.0,68.72,224.85714285714,62.734157034675
2021-01-29,California,State,Gamma,2.0,0.95,0.71428571428,0.199282582702
2021-01-29,California,State,Alpha,10.0,4.74,11.28571428571,3.148664806696
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Delta,1.0,0.47,0.57142857142,0.159426066162
2021-01-29,California,State,Total,211.0,100.0,358.42857142857,100.0
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.079713033081
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Other,53.0,25.12,120.71428571428,33.678756476684
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.077160493827
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Epsilon,79.0,73.15,234.71428571428,63.387345679012
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.192901234568
2021-01-30,California,State,Total,108.0,100.0,370.28571428571,100.0
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Alpha,2.0,1.85,10.0,2.700617283951
2021-01-30,California,State,Other,27.0,25.0,124.0,33.487654320988
2021-01-30,California,State,Delta,0.0,0.0,0.57142857142,0.154320987654
2021-01-31,California,State,Delta,0.0,0.0,0.57142857142,0.14367816092
2021-01-31,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-31,California,State,Other,82.0,34.45,135.14285714285,33.979885057471
2021-01-31,California,State,Alpha,2.0,0.84,9.28571428571,2.334770114943
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.179597701149
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.07183908046
2021-01-31,California,State,Epsilon,154.0,64.71,251.71428571428,63.290229885057
2021-01-31,California,State,Total,238.0,100.0,397.71428571428,100.0
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Alpha,10.0,1.27,10.14285714285,2.036718301779
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-01,California,State,Total,786.0,100.0,498.0,100.0
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.057372346529
2021-02-01,California,State,Delta,0.0,0.0,0.57142857142,0.114744693058
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.143430866322
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Other,222.0,28.24,162.28571428571,32.587492828457
2021-02-01,California,State,Epsilon,554.0,70.48,324.0,65.060240963855
2021-02-02,California,State,Total,1302.0,100.0,602.0,100.0
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.047460844803
2021-02-02,California,State,Other,296.0,22.73,173.57142857142,28.832463217845
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Alpha,33.0,2.53,13.57142857142,2.254390128144
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.118652112008
2021-02-02,California,State,Delta,0.0,0.0,0.42857142857,0.071191267205
2021-02-02,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-02,California,State,Epsilon,973.0,74.73,413.42857142857,68.675842429995
2021-02-03,California,State,Alpha,29.0,2.67,16.0,2.435312024353
2021-02-03,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-03,California,State,Delta,0.0,0.0,0.28571428571,0.043487714721
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Total,1087.0,100.0,657.0,100.0
2021-02-03,California,State,Other,249.0,22.91,176.28571428571,26.831919982605
2021-02-03,California,State,Epsilon,808.0,74.33,463.28571428571,70.515329419439
